"subjID"	"Trial"	"level1_choice"	"level2_choice"	"reward"	"transition"	"Stay"	"PrReward"	"PrTransition"	"RT1"	"RT2"
110	1	1	1	1	1	NA	NA	NA	984	784
110	2	1	1	1	1	1	1	1	811	594
110	3	1	2	1	1	1	1	1	425	413
110	4	1	1	0	1	1	1	1	829	716
110	5	1	1	1	1	1	0	1	428	316
110	6	1	4	1	-1	1	1	1	371	1037
110	7	1	4	0	-1	1	1	-1	774	1020
110	8	1	1	1	1	1	0	-1	592	980
110	9	1	1	1	1	1	1	1	305	476
110	10	1	2	1	1	1	1	1	383	462
110	11	1	2	0	1	1	1	1	308	530
110	12	2	3	0	1	0	0	1	293	466
110	13	2	1	0	-1	1	0	1	336	309
110	14	2	3	0	1	1	0	-1	300	595
110	15	2	2	0	-1	1	0	1	345	106
110	16	2	3	1	1	1	0	-1	622	482
110	17	2	3	0	1	1	1	1	710	572
110	18	2	4	1	1	1	0	1	668	380
110	19	2	3	1	1	1	1	1	360	439
110	20	2	1	1	-1	1	1	1	514	237
110	21	2	1	1	-1	1	1	-1	337	613
110	22	1	1	1	1	0	1	-1	279	777
110	23	1	4	1	-1	1	1	1	331	471
110	24	1	2	0	1	1	1	-1	363	668
110	25	1	1	0	1	1	0	1	469	962
110	26	1	1	0	1	1	0	1	876	434
110	27	1	1	1	1	1	0	1	1205	650
110	28	1	1	1	1	1	1	1	523	595
110	29	1	2	0	1	1	1	1	358	581
110	30	1	2	1	1	1	0	1	501	493
110	31	1	2	0	1	1	1	1	1241	1309
110	32	1	4	1	-1	1	0	1	387	864
110	33	1	2	1	1	1	1	-1	496	92
110	34	2	3	1	1	0	1	1	306	1248
110	35	1	2	0	1	0	1	1	614	409
110	36	1	3	1	-1	1	0	1	357	465
110	37	2	3	1	1	0	1	-1	401	395
110	38	1	2	1	1	0	1	1	434	534
110	39	1	2	0	1	1	1	1	406	83
110	40	2	2	0	-1	0	0	1	322	380
110	41	2	4	1	1	1	0	-1	11	486
110	42	2	4	1	1	1	1	1	341	134
110	45	1	3	1	-1	1	1	1	395	534
110	46	1	1	0	1	1	1	-1	17	229
110	47	2	2	0	-1	0	0	1	6	28
110	48	2	3	1	1	1	0	-1	514	198
110	49	2	1	0	-1	1	1	1	6	429
110	50	2	4	0	1	1	0	-1	78	248
110	51	1	4	0	-1	0	0	1	425	104
110	52	1	1	1	1	1	0	-1	16	390
110	53	1	4	0	-1	1	1	1	0	534
110	54	2	4	0	1	0	0	-1	158	74
110	57	1	3	0	-1	0	0	-1	374	537
110	58	1	1	1	1	1	0	-1	14	510
110	59	1	1	1	1	1	1	1	18	95
110	60	1	3	0	-1	1	1	1	11	478
110	61	1	2	0	1	1	0	-1	5	621
